CATAID,COSMOS_ID_06,COSMOS_ID_08,COSMOS_ID_13,RA,DEC,r_mag
6182711,1196945,741013.0,134355.0,150.275208017745,2.12482741318265,14.701151889099933
6181789,0,736616.0,89315.0,150.528092543238,1.98698900676324,14.192483423898409
6180833,1182617,731821.0,104810.0,150.492510792578,2.02240415699053,14.72230485626472
6180086,0,729212.0,108335.0,150.525284429558,2.04127532646305,14.267328146168062
6177086,0,693963.0,130588.0,150.645659730614,2.12274803873176,14.49328236795867
6175088,1143132,706208.0,108236.0,150.626952120626,2.03043828436534,14.824386972113238
6173894,1134514,702550.0,114022.0,150.583523463196,2.05937119466851,14.745084638846173
6173467,1130693,699826.0,121989.0,150.645893119763,2.08087899226049,14.885059655997999
6172953,0,696755.0,122937.0,150.620730210783,2.09977749848836,14.06242569197834
6172511,0,696042.0,129167.0,150.626675216014,2.10824029980801,14.284924433240818
6172244,1121576,694797.0,131329.0,150.643431251187,2.11605729543453,14.415448061368757
6161895,0,634144.0,54749.0,149.576189887008,1.84856294618279,14.580854156294457
6160805,0,629459.0,64101.0,149.717510031668,1.88543415652613,14.613921119505285
6159845,1008164,625681.0,73070.0,149.652776859321,1.91099327648524,14.831423068787863
6158768,1001284,621231.0,81041.0,149.581567197414,1.94008867012709,14.798768502295026
6157489,990735,613965.0,46714.0,149.853568605835,1.81801104225151,14.580266670825097
6157416,0,613779.0,47803.0,149.864094982488,1.82038209625013,14.936820548418439
6156719,0,610047.0,52968.0,149.775813413182,1.84580364227635,14.224435252158003
6156613,0,608782.0,57040.0,149.794486104161,1.85579627021933,14.177749048743372
6155972,0,605628.0,62751.0,149.827437243938,1.87749139402771,14.99456961643346
6155827,0,605054.0,62625.0,149.749049026224,1.87987562928173,14.462033407979668
6152572,952434,589964.0,47133.0,150.003089079004,1.81834450772406,14.327202631688827
6152093,0,587726.0,50511.0,150.039996995941,1.83309640213778,14.295636128111283
6151324,943928,584666.0,55412.0,149.94153535694,1.85370383682184,14.713556021347983
6150900,0,582702.0,60118.0,149.925126243588,1.86824697889348,14.984620439985719
